manifest_ordinal	member_id	repair_class	cache_action	expected_candidate_rows	source_columns	canonical_output_columns	effective_candidate_path	candidate_sha256	validation_status
0	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	none_exact	use_exact_canonical72	344	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0000_bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_hh4b_candidates_v2.parquet	8521ad0f898c1e57f765044254a4b3d977f218229b8f3b2a2f0a4647e76a5779	pass
1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	none_exact	use_exact_canonical72	334	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0001_bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_hh4b_candidates_v2.parquet	41381ddeb2cd3a854656fa323a0110d1f08c0c554076c61d5d6849170412199f	pass
2	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	none_exact	use_exact_canonical72	334	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0002_bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_hh4b_candidates_v2.parquet	ad3d5f7510f11785f38627560063251ac7cb6e556dafc327ee9d68ab5778e1bd	pass
3	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	none_exact	use_exact_canonical72	344	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/validation/bbh_hbb_4fs/0004_bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_hh4b_candidates_v2.parquet	08bf0f07eb4522abdc86e47f7b14ece85e7af052df52c75cf8a7de899701ef9b	pass
4	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	none_exact	use_exact_canonical72	7	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0005_ggh_hbb_run2_frozen_v2_train_shard9701_10k_hh4b_candidates_v2.parquet	de2f575955f2f3d85f55fbb4258dd57974cf89207803458c1d198dd16953199c	pass
5	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	none_exact	use_exact_canonical72	1	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0006_ggh_hbb_run2_frozen_v2_train_shard9702_10k_hh4b_candidates_v2.parquet	777a098be611a618512bbcf37751bf7f9879a079052d812bed05713a173a67b2	pass
6	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	none_exact	use_exact_canonical72	7	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0007_ggh_hbb_run2_frozen_v2_train_shard9703_10k_hh4b_candidates_v2.parquet	0f868f1dcab03c758e87f9f45d0bab2e12283215c3e2a1a416d71b4dcce8b372	pass
7	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	none_exact	use_exact_canonical72	6	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0008_ggh_hbb_run2_frozen_v2_train_shard9704_10k_hh4b_candidates_v2.parquet	74159f08c879081c31c9718c3f1a261e154415392a1969d54b6489dac9833175	pass
8	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	none_exact	use_exact_canonical72	3	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0009_ggh_hbb_run2_frozen_v2_train_shard9705_10k_hh4b_candidates_v2.parquet	c10c52c1c241b5dee6b422392db386e4c4ceaaec401455f3cc342a54de81c105	pass
9	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	none_exact	use_exact_canonical72	6	72	72	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0010_ggh_hbb_run2_frozen_v2_train_shard9706_10k_hh4b_candidates_v2.parquet	4fb4a34b880f056128e85bfb8cb8383c619f0e6473451b196243843cf3d04eb2	pass
